,Name of the Blood Bank,ADDRESS,License No.,Public / Private
1. ÿ,Blood Unit DHQ,DHQ Hospital Attock,77,Public
2. ÿ,District Blood Transfusion Unit,"DHQ Hospital, Bahawalnagar",90,Public
3. ÿ,Regional Blood Center,RBC. Bahawal Victoria Hospital Bahawalpur,86,Public
4. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Bhakkar,111,Public
5. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Chakwal,98,Public
6. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Chiniot,94,Public
7. ÿ,Blood Bank Allied Hospital,Allied Hospital Faisalabad,2,Public
8. ÿ,Blood Bank DHQ Hospital,DHQ Hospital Faisalabad,3,Public
9. ÿ,Blood Bank FIC,"Faisalabad Institute of Cardiology, Faisalabad",16,Public
10. ÿ,Blood Bank THQ Hospital,"THQ Hospital Kamoke G.T.Road, Gujranwala",95,Public
11. ÿ,DHQ Hospital,Kolo Road DHQ Hospital Hafizabad,75,Public
12. ÿ,Blood Unit DHQ Hospital,DHQ Hospital Jhang,69,Public
13. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Jhelum,97,Public
14. ÿ,Blood Bank DHQ Hospital,District Kasur,85,Public
15. ÿ,Blood Bank DHQ Hospital,"DHQ Hospital Johraabad, District Khushab",119,Public
16. ÿ,Blood Bank Services Hospital,Jail Road Lahore,1,Public
17. ÿ,Blood Bank PIC,Punjab Institute of Cardiology Lahore,6,Public
18. ÿ,INMOL Blood Bank,"INMOL (Institute of Nuclear Medicine & Oncology) Pakistan Atomic Energy Commission New Campus Road, Lahore",8,Public
19. ÿ,Blood Bank Sheikh Zayed Hospital,Sheikh Zayed Hospital Lahore,9,Public
20. ÿ,Blook Bank Children Hospital,The Children's Hospital Ferozpur Road Lahore,10,Public
21. ÿ,Mayo Hospital Blood Bank,Mayo Hospital Lahore,23,Public
22. ÿ,Blood Unit Kot Khawaja Saeed,Govt. DHQ-II K.E Teaching Hospital Kot Khawaja Saeed Lahore,27,Public
23. ÿ,Blood Bank Lahore General Hospital,"Ferozpur Road, Lahore",28,Public
24. ÿ,Blood Bank Jinnah Hospital,Maulana Shaukat Ali Road Lahore,29,Public
25. ÿ,Blood Bank Ghulab Davi Chest Hospital,"Ferozpur Road, Lahore",31,Public
26. ÿ,Blood Bank Sir Ganga Ram Hospital,Sir Ganga Ram Hospital Lahore,32,Public
27. ÿ,Blood Bank Nawaz Sharif Hospital,Yakki Gate Lahore,33,Public
28. ÿ,Blood Bank Lady Aitchison Hospital,Lady Aitchison Hospital Lahore,53,Public
29. ÿ,Blood Bank Lady Willingdon Hospital,Chowk Yadgar Near Badshahi Mosque Lahore,54,Public
30. ÿ,Blood Bank IBTS,"Inside Mental Hospital Jail Road, Lahore",70,Public
31. ÿ,Blood Bank Nawaz Sharif Social Security Hospital,"Multan Road, Lahore",103,Public
32. ÿ,Avicenna Medical College Blood Bank,"Avicenna Hospital Defence Phase-IX Badian Road, Lahore",112,Public
33. ÿ,Blood Transfusion Unit DHQ Hospital,DHQ Hospital Layyah,96,Public
34. ÿ,Blood Bank DHQ Hospital,DHQ Hospital Mianwali,120,Public
35. ÿ,Blood Unit Nishtar Hospital,Multan,62,Public
36. ÿ,Regional Blood Center,"RBC Ajacent Multan Institute of Kidney disease Near Bahawalpur by Pais Muzzafar Garh Road, Multan",87,Public
37. ÿ,Nishter Hospital Blood Bank,Nishtar Hospital Multan,88,Public
38. ÿ,Blood Bank DHQ Hospital,DHQ Hospital Muzaffargarh,104,Public
39. ÿ,Blood Bank DHQ Hospital,Nankana Sahib,84,Public
40. ÿ,DHQ Hospital Blood Bank,DHQ Hospital Narowal,105,Public
41. ÿ,Blood Bank Unit DHQ Hospital,"DHQ Hospital, Okara",106,Public
42. ÿ,Blood Bank DHQ Hospital,DHQ Hospital Pakpattan,91,Public
43. ÿ,Blood Bank SZMC,Sheikh Zayed Medical College Rahim Yar Khan,99,Public
44. ÿ,District Blood Transfusion Office Rajanpur,DHQ Hospital Rajanpur,89,Public
45. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Rawalpindi,4,Public
46. ÿ,Blood Unit Holy Family Hospital,Holy Family Hospital Rawalpindi,5,Public
47. ÿ,Blood Unit Banazir BhuttoHospital,Rawalpindi,7,Public
48. ÿ,Blood Bank RIC,"Rawalpindi Institute of Cardiology Rawal Road, Rawalpindi",49,Public
49. ÿ,District Blood Unit DHQ Hospital,DHQ Hospital Sargodha,30,Public
50. ÿ,District Blood Unit,"Govt. Mian Moula Bakhash Hospital, Sargodha",61,Public
51. ÿ,Tehsil Blood Unit,THQ Hospital Bhalwal District Sargodha,65,Public
52. ÿ,Blood Unit DHQ Hospital,Sheikhupura,57,Public
53. ÿ,Blood Bank DHQ Hospital,DHQ Hospital Toba Tek Singh,118,Public
54. ÿ,Blood Unit DHQ Hospital,DHQ Hospital Vehari,76,Public
55. ÿ,Blood Unit DHQ Hospital,Mandi Bahaudin,Under Process,
56. ÿ,Blood Unit Shahbaz Sharif Hospital (DHQ) Multan,Multan,Under Process,
